iter	Passed	Remaining
0	49	49298
1	50	25353
2	52	17453
3	53	13410
4	55	10976
5	56	9400
6	58	8345
7	60	7548
8	62	6872
9	63	6315
10	65	5904
11	67	5597
12	69	5294
13	71	5049
14	73	4839
15	75	4638
16	77	4475
17	79	4330
18	80	4178
19	82	4066
20	84	3944
21	86	3827
22	88	3740
23	89	3633
24	90	3530
25	93	3506
26	95	3436
27	97	3370
28	98	3282
29	99	3215
30	100	3150
31	102	3107
32	104	3066
33	106	3035
34	110	3046
35	112	3016
36	115	2998
37	118	2990
38	124	3067
39	129	3100
40	133	3119
41	136	3104
42	138	3080
43	144	3150
44	149	3182
45	154	3197
46	156	3166
47	157	3132
48	159	3103
49	166	3160
50	167	3124
51	171	3125
52	178	3188
53	179	3148
54	181	3114
55	182	3080
56	184	3057
57	186	3034
58	188	2999
59	189	2971
60	191	2951
61	193	2923
62	195	2909
63	197	2887
64	199	2867
65	200	2842
66	202	2818
67	204	2801
68	206	2788
69	208	2764
70	210	2753
71	213	2750
72	214	2728
73	216	2712
74	217	2688
75	219	2667
76	221	2654
77	223	2640
78	225	2624
79	227	2619
80	229	2599
81	230	2578
82	232	2563
83	233	2547
84	236	2540
85	238	2530
86	240	2520
87	242	2509
88	244	2497
89	246	2487
90	248	2478
91	250	2468
92	252	2458
93	254	2448
94	255	2438
95	257	2429
96	259	2419
97	261	2410
98	263	2398
99	265	2389
100	267	2381
101	273	2406
102	277	2419
103	279	2405
104	280	2392
105	282	2383
106	284	2372
107	286	2365
108	288	2356
109	290	2347
110	292	2339
111	294	2332
112	296	2325
113	298	2316
114	299	2307
115	301	2299
116	303	2292
117	305	2284
118	307	2276
119	309	2269
120	311	2262
121	313	2255
122	315	2248
123	317	2240
124	319	2233
125	320	2226
126	322	2219
127	324	2210
128	326	2207
129	328	2198
130	330	2191
131	331	2179
132	332	2167
133	334	2158
134	335	2152
135	337	2146
136	339	2141
137	341	2132
138	343	2124
139	345	2122
140	347	2117
141	349	2111
142	351	2103
143	352	2098
144	354	2092
145	356	2087
146	358	2081
147	360	2075
148	362	2070
149	364	2065
150	366	2060
151	367	2052
152	369	2048
153	371	2043
154	374	2042
155	376	2036
156	378	2031
157	380	2025
158	382	2021
159	384	2016
160	386	2011
161	389	2014
162	391	2009
163	393	2003
164	395	1999
165	397	1994
166	399	1991
167	400	1983
168	402	1977
169	404	1975
170	406	1969
171	408	1965
172	410	1960
173	412	1956
174	414	1952
175	416	1948
176	419	1948
177	420	1943
178	422	1939
179	424	1935
180	426	1931
181	428	1927
182	430	1919
183	432	1916
184	434	1912
185	435	1907
186	437	1903
187	439	1896
188	440	1889
189	442	1885
190	444	1881
191	446	1876
192	447	1871
193	449	1867
194	451	1863
195	453	1859
196	455	1855
197	457	1851
198	458	1844
199	460	1841
200	461	1835
201	463	1831
202	465	1828
203	467	1822
204	469	1819
205	471	1816
206	472	1810
207	478	1822
208	480	1817
209	481	1811
210	483	1807
211	485	1803
212	487	1799
213	488	1794
214	490	1791
215	491	1785
216	493	1781
217	495	1778
218	497	1773
219	498	1767
220	500	1764
221	502	1760
222	504	1757
223	506	1753
224	507	1749
225	509	1743
226	510	1737
227	512	1734
228	513	1729
229	515	1726
230	517	1724
231	519	1721
232	521	1717
233	523	1714
234	525	1711
235	527	1707
236	529	1704
237	531	1701
238	533	1699
239	535	1696
240	537	1693
241	538	1688
242	540	1685
243	542	1680
244	544	1677
245	546	1674
246	548	1671
247	549	1667
248	551	1662
249	552	1656
250	554	1654
251	556	1650
252	558	1647
253	559	1644
254	561	1641
255	563	1638
256	565	1634
257	567	1632
258	569	1628
259	571	1625
260	572	1620
261	575	1619
262	576	1616
263	579	1614
264	582	1614
265	584	1612
266	585	1608
267	587	1605
268	589	1601
269	591	1598
270	593	1596
271	595	1594
272	597	1590
273	598	1585
274	600	1582
275	604	1586
276	610	1593
277	612	1591
278	614	1588
279	617	1586
280	618	1583
281	620	1580
282	622	1578
283	624	1575
284	627	1573
285	629	1570
286	630	1565
287	632	1563
288	634	1560
289	636	1557
290	638	1554
291	639	1550
292	641	1547
293	643	1544
294	644	1539
295	646	1537
296	648	1534
297	650	1531
298	652	1528
299	654	1526
300	656	1523
301	658	1521
302	659	1517
303	661	1513
304	662	1509
305	664	1506
306	665	1502
307	667	1499
308	669	1497
309	671	1494
310	673	1491
311	675	1488
312	677	1486
313	678	1481
314	680	1479
315	682	1476
316	684	1473
317	685	1470
318	687	1467
319	689	1464
320	691	1462
321	693	1459
322	694	1456
323	701	1463
324	702	1459
325	704	1457
326	706	1454
327	708	1451
328	710	1449
329	712	1445
330	714	1443
331	715	1439
332	716	1435
333	718	1431
334	720	1429
335	721	1426
336	723	1424
337	726	1422
338	727	1418
339	729	1415
340	731	1413
341	732	1409
342	734	1407
343	736	1404
344	738	1401
345	739	1397
346	741	1395
347	743	1392
348	745	1390
349	747	1387
350	749	1385
351	751	1383
352	752	1379
353	754	1377
354	756	1373
355	758	1371
356	760	1368
357	763	1369
358	766	1368
359	769	1368
360	775	1373
361	778	1371
362	781	1370
363	786	1374
364	789	1374
365	791	1371
366	793	1368
367	795	1365
368	797	1363
369	799	1361
370	801	1359
371	803	1356
372	804	1352
373	806	1350
374	808	1346
375	809	1342
376	810	1340
377	812	1336
378	813	1333
379	815	1330
380	816	1326
381	818	1324
382	819	1320
383	821	1318
384	823	1315
385	824	1312
386	826	1308
387	828	1306
388	829	1302
389	831	1300
390	833	1298
391	834	1295
392	836	1292
393	838	1289
394	840	1287
395	842	1284
396	844	1282
397	846	1279
398	847	1276
399	849	1273
400	851	1272
401	853	1270
402	855	1267
403	857	1265
404	859	1262
405	861	1259
406	863	1257
407	864	1254
408	866	1251
409	867	1247
410	869	1245
411	870	1242
412	872	1240
413	874	1238
414	876	1235
415	877	1232
416	879	1229
417	881	1227
418	883	1224
419	884	1221
420	886	1218
421	887	1215
422	889	1213
423	891	1210
424	893	1208
425	894	1205
426	896	1202
427	897	1199
428	899	1197
429	900	1193
430	902	1191
431	904	1188
432	906	1186
433	908	1184
434	910	1182
435	912	1179
436	913	1177
437	915	1174
438	917	1172
439	919	1169
440	920	1166
441	922	1164
442	924	1162
443	926	1159
444	928	1157
445	929	1155
446	932	1153
447	933	1150
448	936	1148
449	937	1145
450	939	1143
451	940	1140
452	942	1137
453	944	1135
454	945	1133
455	947	1130
456	949	1128
457	951	1126
458	953	1123
459	955	1121
460	958	1121
461	960	1118
462	962	1116
463	965	1115
464	967	1113
465	969	1111
466	971	1108
467	973	1106
468	975	1103
469	976	1100
